time_id,item_id,location_id,dollars_sold,units_sold
327,20,19,239.29,5
43,30,26,66.38,3
190,1,7,54.12,4
172,13,9,62.66,3
116,34,2,80.74,3
9,18,12,71.91,2
282,3,2,23.18,2
123,7,23,155.05,5
242,44,3,145.37,5
150,17,21,52.33,3
137,2,18,135.19,4
324,37,30,122.91,5
35,27,11,73.5,2
269,23,11,70.84,2
273,45,8,134.47,7
139,16,17,74.47,3
96,29,7,76.83,3
2,38,4,128.66,6
342,31,29,87.51,2
346,11,21,150.86,4
88,35,4,60.91,5
12,38,19,50.54,2
45,7,10,33.3,1
25,9,6,74.66,2
304,34,15,56.6,2
326,6,24,69.32,3
56,45,1,149.63,6
273,6,11,77.98,3
66,49,28,185.58,6
135,34,12,121.89,4
219,23,3,150.17,4
263,14,13,72.27,3
320,18,21,54.56,2
17,38,30,168.7,7
72,38,19,206.01,9
103,11,2,49.65,2
114,28,25,72.55,3
365,50,24,147.6,5
284,13,20,111.83,4
117,35,27,95.02,8
355,9,24,231.37,5
183,42,7,167.33,7
183,9,13,79.01,2
159,15,16,42.9,1
53,23,15,38.3,1
342,19,20,116.13,3
6,9,22,108.92,3
64,33,4,57.8,2
84,1,18,16.81,1
102,50,2,288.19,8
49,3,16,24.88,2
7,17,13,72.58,3
248,47,7,47.1,4
354,8,30,42.77,1
45,4,8,53.0,4
109,38,2,95.0,4
185,4,11,12.71,1
339,45,23,202.73,9
254,23,1,162.67,5
280,44,15,186.02,4
213,13,13,128.49,4
153,8,26,63.77,2
73,49,1,235.41,7
316,39,1,92.81,4
294,46,17,227.11,5
10,16,6,47.31,2
262,21,22,37.77,2
31,29,9,66.08,2
270,23,17,154.87,4
302,13,2,130.92,5
48,19,21,47.94,2
159,31,16,102.6,2
46,2,1,108.89,3
208,17,8,60.27,3
339,15,2,102.9,2
30,4,2,66.48,5
146,7,21,160.43,5
356,25,13,24.82,1
110,6,25,20.93,1
49,18,8,103.05,4
179,29,22,59.3,2
186,44,19,341.71,8
242,5,20,51.88,2
115,22,25,68.18,4
349,6,22,87.46,3
191,22,23,17.24,1
105,25,23,42.75,3
351,40,14,53.01,1
338,23,22,201.91,5
183,47,26,124.61,10
10,7,23,63.86,2
218,3,19,22.85,2
203,1,3,44.34,3
55,18,14,125.62,3
232,10,2,135.63,5
307,5,4,56.27,2
39,12,11,34.68,2
265,49,14,222.91,6
52,41,16,97.35,4
274,1,28,40.5,3
153,46,23,240.76,7
3,11,13,141.1,5
353,21,11,76.29,3
61,17,22,55.63,3
218,21,9,22.4,1
67,39,27,109.71,7
341,36,24,40.74,2
270,30,21,72.79,3
294,32,8,106.32,4
158,37,19,51.13,3
171,10,25,53.25,2
232,20,3,110.98,3
287,6,6,104.03,4
310,36,16,185.74,7
7,22,11,103.05,5
243,32,22,134.31,5
40,29,13,104.49,4
106,14,30,22.89,1
303,7,9,85.18,2
92,49,11,204.41,8
291,15,1,123.38,3
169,6,8,23.73,1
85,16,8,43.53,2
122,46,23,187.3,5
194,14,11,78.41,3
280,50,7,201.82,8
222,24,10,144.34,4
341,44,17,470.42,8
317,33,24,119.19,4
275,3,30,10.69,1
221,26,2,91.57,5
106,21,26,58.29,3
151,11,12,92.3,3
44,28,25,128.37,5
137,6,2,48.73,2
339,35,19,87.19,6
156,42,28,186.22,7
42,5,2,19.35,1
238,24,24,219.74,6
352,33,4,107.81,4
317,4,30,55.23,3
101,20,23,53.83,2
166,13,28,49.77,2
194,2,27,38.2,1
91,41,10,67.96,3
99,23,13,148.49,4
87,38,21,95.8,5
364,30,6,116.33,4
273,44,10,129.09,4
307,50,3,231.48,6
299,31,27,223.27,6
351,18,8,75.95,2
39,22,13,22.77,1
322,42,14,357.64,9
25,22,12,150.74,7
174,26,24,56.48,4
217,10,28,213.47,6
131,50,18,129.12,5
54,33,26,113.8,5
71,17,4,56.93,3
302,30,29,85.34,4
117,21,4,60.7,3
114,8,2,60.61,2
338,44,1,255.14,7
53,45,8,163.2,6
335,42,26,120.99,4
337,19,10,38.57,1
219,13,24,41.95,2
61,3,13,31.29,3
57,37,4,72.15,4
104,17,15,23.68,1
211,45,7,142.31,9
57,44,9,304.27,7
167,7,16,42.54,1
43,46,24,86.22,3
198,8,18,125.06,3
8,25,7,56.99,4
259,24,22,96.18,3
21,48,21,109.11,7
72,33,8,47.52,2
64,44,26,123.14,4
304,30,26,69.12,3
20,42,19,305.08,10
157,43,9,190.05,6
216,43,11,177.46,4
189,21,14,66.17,3
249,20,6,80.25,3
294,50,10,277.46,10
144,38,5,55.75,3
303,46,5,203.98,5
117,29,23,23.39,1
360,47,4,34.25,2
185,36,15,77.94,3
269,38,13,122.8,5
320,9,2,110.95,2
290,29,25,129.53,5
311,37,30,175.54,7
196,39,20,81.76,5
16,48,21,74.59,6
180,17,7,82.65,4
67,16,26,74.41,3
325,49,24,250.18,9
87,50,14,257.34,9
84,9,22,122.46,3
92,19,29,83.14,3
235,48,19,96.37,6
209,10,6,74.03,2
347,40,10,241.75,5
152,6,6,26.99,1
104,9,10,88.86,2
18,40,27,121.17,3
3,31,6,146.84,4
137,28,27,109.77,3
338,43,9,297.92,8
192,16,15,132.97,4
327,26,16,228.59,10
38,31,4,164.21,4
35,37,6,78.21,4
305,17,10,95.69,4
39,32,2,201.26,7
19,23,23,115.7,4
148,28,17,59.82,2
338,44,26,372.51,10
252,20,26,67.68,3
37,34,11,118.78,4
306,48,25,62.19,4
308,39,2,135.17,6
293,50,13,170.36,6
330,30,20,95.6,3
88,15,14,88.21,2
358,50,23,465.27,13
118,33,26,128.04,4
293,13,13,107.98,3
212,16,9,76.08,4
285,14,18,22.58,1
230,42,27,219.55,9
235,5,30,49.04,2
225,37,25,62.56,3
285,28,8,69.85,2
270,4,7,41.89,3
50,31,18,76.69,2
302,38,13,123.6,5
196,37,19,109.72,5
118,27,28,200.08,5
188,17,17,139.64,6
353,9,11,52.15,1
314,1,27,40.67,2
305,18,14,136.25,3
169,32,19,30.53,1
287,2,5,69.79,2
141,50,16,213.61,7
251,30,13,83.35,3
234,15,4,47.29,1
92,49,7,259.43,7
98,10,22,81.59,3
23,48,6,117.19,8
52,15,4,186.34,4
159,19,2,60.41,2
175,22,1,44.67,2
61,50,14,281.39,9
153,13,15,60.74,2
221,49,19,356.59,8
85,18,18,128.47,3
124,15,17,295.5,6
135,32,30,227.04,7
185,35,8,44.8,4
134,18,22,133.88,5
269,7,3,120.82,3
120,20,26,31.49,1
159,28,11,143.14,5
139,3,11,20.33,2
67,4,5,13.65,1
251,46,16,294.82,7
86,2,12,105.21,3
109,21,30,91.12,4
290,39,6,57.04,4
347,17,13,34.56,1
245,25,28,83.02,4
335,5,25,42.32,2
312,40,23,139.88,4
176,32,16,159.45,5
282,43,27,166.67,5
120,44,7,205.13,6
169,18,25,27.73,1
196,3,18,21.53,2
351,18,11,46.4,1
310,8,7,78.65,2
179,27,16,181.02,4
239,8,1,93.85,3
74,47,22,98.01,8
294,31,8,38.33,1
202,13,12,86.32,3
195,47,6,53.62,4
280,39,14,73.94,4
232,22,12,87.57,4
27,8,6,96.3,3
106,18,27,136.25,4
65,30,23,85.05,3
269,39,12,81.9,4
13,14,2,48.49,2
74,38,26,43.45,2
219,15,21,141.82,4
254,13,17,91.19,4
184,23,19,114.63,3
315,9,1,165.22,3
336,21,15,112.3,3
49,18,6,110.84,4
348,15,20,349.32,5
225,39,28,54.02,3
233,17,16,47.17,2
35,35,19,66.25,5
227,37,21,75.48,5
265,34,28,219.98,7
212,14,2,104.55,4
31,42,10,95.19,5
191,12,9,67.76,4
342,14,22,45.24,2
265,44,14,156.22,4
51,17,24,96.86,5
351,35,15,69.23,3
350,3,30,23.98,2
62,31,24,284.29,9
293,44,1,116.08,4
149,36,30,70.55,3
217,30,29,99.98,4
163,43,2,244.95,6
286,15,12,209.61,4
364,19,30,109.73,3
291,4,26,23.24,2
340,35,15,76.58,4
346,37,17,115.12,4
33,38,1,94.21,5
93,38,17,75.39,3
264,7,20,128.96,3
216,34,11,200.61,7
19,39,10,77.76,4
35,11,25,64.43,3
190,24,14,107.91,2
225,46,8,377.03,10
62,21,12,45.42,2
63,38,15,112.73,4
48,27,8,98.22,3
207,33,17,96.04,4
3,32,26,47.44,3
209,33,23,115.4,6
174,39,7,62.28,4
171,46,15,304.31,7
248,15,17,215.66,4
191,47,21,82.54,7
266,32,23,40.32,2
279,30,15,29.15,1
336,17,10,74.66,3
292,21,20,89.09,3
189,33,4,135.19,5
180,19,21,63.93,3
87,15,27,172.0,4
219,41,22,60.56,3
51,21,14,120.84,5
340,33,25,134.07,6
309,2,16,273.08,5
44,4,17,50.48,3
287,43,26,233.44,8
43,8,6,31.6,1
264,40,24,113.08,3
33,46,21,178.83,7
179,25,16,49.38,3
241,45,3,36.48,2
267,22,23,53.33,3
153,48,7,25.01,2
337,12,27,57.35,3
283,22,24,32.91,2
77,20,11,217.22,7
245,40,14,86.59,2
267,3,1,19.74,2
122,42,15,114.49,4
270,2,2,78.38,2
328,16,30,126.9,4
299,30,20,263.09,8
279,8,8,31.71,1
232,25,25,13.91,1
99,50,1,221.59,8
291,42,17,87.09,3
133,2,4,92.31,3
195,30,2,107.09,4
115,30,8,66.31,3
115,4,9,39.93,3
58,33,22,74.31,3
351,27,27,134.05,3
54,35,24,29.64,3
32,15,23,158.44,4
342,13,17,32.13,1
203,37,12,96.12,4
160,37,8,58.68,3
270,9,29,41.03,1
140,11,16,62.46,2
47,30,17,110.23,4
267,42,1,144.09,4
65,11,14,129.79,5
202,11,21,61.9,3
347,41,15,138.69,4
342,35,19,122.3,6
132,46,25,232.14,7
285,40,1,149.33,5
224,48,28,165.0,10
175,10,25,23.69,1
52,14,13,78.96,3
138,12,23,44.16,3
238,3,2,54.2,5
361,39,10,93.77,5
2,34,4,130.39,4
262,5,20,55.37,2
309,10,26,86.91,3
348,10,19,82.3,2
155,21,22,65.66,4
44,23,5,128.51,4
99,15,29,192.63,4
311,47,6,148.53,11
321,11,16,65.72,2
233,29,21,86.74,4
45,22,26,80.65,4
45,20,29,96.52,3
175,42,18,225.86,6
215,49,18,142.13,4
12,1,13,49.15,3
251,24,18,78.68,2
199,6,21,96.99,5
5,22,20,64.01,3
35,31,18,128.11,4
166,21,14,108.97,5
264,16,6,61.98,3
302,16,2,68.82,3
158,15,13,199.73,4
108,17,12,51.35,2
354,19,19,105.0,3
168,35,28,46.66,4
116,5,22,41.85,2
162,3,25,26.1,3
5,26,18,44.23,2
111,35,28,26.28,2
189,13,29,51.52,2
336,11,5,112.94,3
270,32,20,119.78,4
286,20,16,162.18,5
199,37,30,35.61,2
41,8,18,203.47,5
143,7,1,234.24,6
364,28,7,182.01,5
17,20,4,239.45,7
321,37,7,83.08,3
250,26,3,45.71,3
104,18,24,63.27,2
284,8,15,81.98,2
306,9,21,137.35,3
16,38,30,44.8,2
39,12,20,43.52,2
243,26,15,62.48,3
365,41,9,172.83,7
9,45,23,133.39,8
243,14,16,115.29,5
50,6,23,40.01,2
238,39,1,76.96,4
228,35,5,14.5,1
34,17,4,96.96,5
249,30,21,119.68,6
328,10,16,48.87,1
316,36,10,109.18,4
11,37,10,130.64,9
90,15,19,141.8,2
88,24,29,128.61,3
166,17,30,80.9,3
53,2,15,82.87,2
312,7,21,138.12,4
284,48,3,90.46,6
296,23,29,114.0,4
73,8,1,68.58,2
6,3,11,35.81,4
333,18,22,130.61,4
106,50,30,226.38,8
240,20,6,30.86,1
332,50,20,221.26,7
14,25,6,46.68,3
2,39,2,78.68,6
2,40,13,144.66,3
58,2,18,83.16,2
19,1,8,26.68,2
300,47,30,120.24,7
222,47,19,68.99,4
358,7,14,207.2,4
293,33,15,28.19,1
352,47,14,147.44,8
88,48,4,147.39,11
106,15,19,173.33,3
311,41,24,163.88,7
90,33,13,105.25,4
21,47,13,95.27,5
245,8,28,72.31,2
293,31,19,115.12,3
354,2,9,212.72,4
339,18,1,66.69,2
44,1,25,12.24,1
282,23,19,152.79,4
309,41,19,189.44,6
255,33,9,92.42,4
300,16,6,70.19,4
306,22,15,140.76,5
163,19,23,68.79,3
15,37,9,35.25,2
167,14,16,72.5,3
74,5,30,39.24,2
42,26,7,32.79,2
46,42,7,195.77,8
255,24,8,110.58,3
185,11,28,102.43,3
198,3,16,32.04,3
272,48,28,75.02,5
201,39,29,121.61,7
230,8,13,100.6,3
32,4,2,23.87,2
311,7,10,88.49,2
164,19,17,138.15,4
57,41,12,203.86,9
297,8,1,69.4,2
269,41,30,160.15,7
20,1,10,16.48,1
71,37,19,117.6,5
6,15,29,258.15,5
99,49,17,440.08,12
37,24,21,151.85,5
260,14,2,65.35,3
191,13,21,126.9,7
358,42,26,219.58,7
274,21,28,101.18,4
224,18,3,93.44,3
186,37,7,42.31,2
20,27,2,195.45,5
26,34,28,243.41,8
225,23,9,68.96,2
2,4,16,54.15,3
16,1,15,15.33,1
80,2,21,93.53,3
323,29,27,186.4,5
168,26,10,71.26,5
259,38,24,120.0,5
151,45,9,68.13,3
64,9,6,185.97,4
136,48,4,92.82,6
34,47,12,87.32,6
282,31,17,73.59,2
67,27,24,59.62,2
138,9,26,38.98,1
358,9,16,250.38,4
217,1,13,22.25,1
168,33,6,121.82,5
199,22,28,78.36,4
287,10,12,107.29,3
93,7,23,83.74,3
233,4,19,38.58,2
319,33,28,251.51,8
209,35,30,82.67,6
163,32,22,78.98,3
53,6,20,26.25,1
91,3,5,31.64,3
346,6,1,89.04,3
198,38,17,115.04,4
110,37,22,113.46,7
153,15,23,53.13,2
211,3,8,18.24,2
197,16,16,90.21,4
256,41,26,140.4,6
94,8,3,165.0,4
237,40,12,138.31,4
162,24,29,151.68,4
344,8,6,143.86,4
58,47,10,127.65,9
55,26,15,53.44,3
169,34,21,214.35,9
186,5,8,18.04,1
253,19,24,246.36,9
148,32,8,22.18,1
334,33,12,49.16,1
174,4,18,77.17,4
48,31,1,244.53,5
44,48,24,97.59,7
356,40,21,196.35,4
49,11,26,28.37,1
346,46,9,234.18,6
102,35,12,14.37,1
35,3,27,45.08,4
112,7,3,41.84,1
225,47,15,114.06,7
157,11,15,73.05,2
287,5,14,24.13,1
224,23,14,109.06,3
147,27,23,101.13,4
232,29,6,57.43,2
355,33,27,91.62,3
151,50,27,188.35,8
57,38,6,40.38,2
150,2,30,74.73,2
307,5,8,28.13,1
80,1,2,75.12,5
347,20,12,97.47,2
215,18,24,65.6,2
220,47,26,117.5,10
116,19,20,117.53,3
336,2,25,68.16,2
14,45,8,85.21,5
110,14,27,42.32,2
153,46,20,191.95,5
175,39,5,94.62,6
174,45,4,126.35,5
54,41,9,178.34,9
83,8,3,33.27,1
35,32,9,138.17,5
209,21,30,54.92,3
129,32,8,110.44,4
207,38,20,55.36,2
216,26,30,21.24,1
257,16,8,80.36,3
200,46,21,298.56,9
237,34,14,64.19,2
215,45,9,175.75,9
239,12,29,52.69,3
226,42,20,216.85,7
116,17,14,97.77,4
90,24,25,64.14,2
288,44,28,119.69,3
126,18,24,28.43,1
201,13,27,69.01,3
72,46,10,258.9,6
158,49,11,188.74,6
194,16,7,115.72,6
229,16,21,22.55,1
193,12,25,38.79,3
132,2,20,115.9,3
352,28,18,132.31,3
188,13,24,46.83,2
296,43,6,335.57,10
269,9,11,43.88,1
204,32,22,79.07,4
324,26,2,36.19,2
47,31,28,153.09,4
337,6,6,27.23,1
311,24,24,170.84,4
184,32,19,105.03,3
268,18,26,99.64,4
190,44,24,310.72,11
99,27,16,122.96,3
292,19,23,60.42,3
90,2,11,116.43,3
115,9,18,97.66,2
190,24,28,129.87,3
306,21,3,186.9,8
141,44,11,266.58,7
181,40,1,74.4,2
16,8,17,142.76,3
43,30,24,92.67,5
21,23,2,130.47,4
27,6,17,57.76,2
318,34,13,250.52,6
308,27,24,87.11,2
300,5,7,54.2,3
21,24,5,137.95,4
29,37,3,123.46,7
103,17,13,78.76,4
207,18,15,194.04,4
122,6,28,57.2,2
178,11,14,218.17,6
64,50,6,143.68,5
267,32,21,83.42,3
115,9,2,75.69,2
25,25,11,48.29,3
272,10,20,111.69,3
330,23,8,148.69,4
6,8,18,147.0,4
160,31,14,201.04,5
302,29,29,119.73,4
258,32,9,181.59,6
313,23,28,142.4,4
152,15,19,49.06,1
136,13,23,83.9,4
259,11,6,122.54,5
57,22,1,102.79,5
88,23,22,84.37,3
220,34,15,147.29,5
244,3,10,9.63,1
44,15,27,47.62,1
186,43,10,75.99,2
134,46,14,221.79,5
184,47,22,61.15,4
350,16,29,100.52,3
28,7,27,40.88,1
364,10,20,120.2,3
165,7,4,250.43,6
282,48,4,67.16,5
155,45,21,115.04,6
114,41,16,111.42,6
282,37,4,86.71,5
251,18,21,162.36,7
53,24,29,41.36,1
258,43,2,196.64,7
275,41,25,167.69,9
142,26,11,71.62,4
338,42,12,351.53,10
234,18,22,105.58,4
122,21,8,62.93,3
4,42,5,131.26,5
247,19,29,109.39,3
77,38,11,59.9,3
277,23,6,103.58,3
192,15,21,154.45,4
171,11,7,71.8,3
60,31,24,161.45,5
260,24,3,121.04,3
61,19,16,164.29,5
153,38,13,158.26,5
306,1,29,22.96,1
336,5,16,27.96,1
362,49,28,381.73,9
350,34,8,260.89,7
203,28,15,112.87,3
74,1,25,11.85,1
307,30,5,56.28,2
293,22,28,108.96,5
362,30,24,59.01,2
238,3,21,17.35,2
52,28,8,110.07,3
184,29,25,57.33,2
164,15,26,134.13,3
308,3,9,14.87,1
144,49,18,144.53,4
120,36,2,90.52,5
30,32,12,153.99,5
305,39,5,60.0,3
276,34,17,61.14,2
16,7,17,82.16,2
159,23,16,99.75,3
176,45,21,76.4,4
172,15,28,380.05,7
336,49,6,348.7,7
55,4,7,14.06,1
112,17,7,61.54,3
67,18,28,65.17,2
90,31,3,256.52,6
332,9,1,233.61,4
344,12,5,56.64,3
17,34,24,142.04,5
231,15,18,204.67,4
85,44,28,235.92,7
71,44,7,206.49,6
107,16,12,33.12,1
71,28,17,241.88,6
179,17,3,59.11,3
364,18,28,268.09,6
215,34,25,187.51,7
264,15,5,81.95,2
181,8,26,28.01,1
6,13,14,24.77,1
31,47,11,22.69,2
99,13,29,69.86,3
89,19,16,68.24,2
307,32,7,77.0,2
308,6,25,57.72,2
312,14,22,99.24,4
233,9,6,97.61,3
204,47,21,75.6,6
237,47,19,147.24,11
149,38,9,72.22,3
245,13,13,63.08,2
290,31,26,64.3,2
279,34,6,154.09,5
225,44,22,174.23,5
22,8,25,62.08,2
265,37,29,37.97,2
134,10,10,103.27,4
272,29,8,182.66,7
197,44,29,195.98,6
322,4,14,34.83,2
124,8,18,112.85,3
340,41,16,168.03,7
309,1,16,74.61,3
121,35,19,46.26,3
177,26,13,68.89,3
194,18,12,202.48,5
281,44,13,175.69,4
252,43,20,175.44,4
311,17,25,45.78,2
136,1,17,63.59,3
185,7,21,30.16,1
158,6,13,28.66,1
332,50,24,162.96,6
112,30,12,194.36,5
215,34,13,183.37,6
44,12,2,92.96,5
311,43,8,175.01,5
141,37,23,81.94,5
125,38,3,63.64,3
213,24,7,108.21,3
183,35,24,51.72,5
310,28,27,85.26,2
194,20,13,270.0,8
189,30,13,54.36,2
39,17,16,82.56,3
9,48,24,103.44,8
146,36,15,104.37,4
365,37,6,25.59,1
335,36,13,147.31,4
230,23,8,98.42,4
231,48,21,153.56,12
143,11,5,23.68,1
65,29,19,133.7,3
4,4,4,27.8,2
124,15,30,150.56,3
116,29,20,149.01,5
70,25,5,64.43,4
95,48,29,105.89,6
10,31,18,91.16,2
222,21,19,117.94,4
339,22,2,43.0,2
253,31,6,141.49,4
164,40,25,141.99,4
154,14,15,28.85,1
113,30,19,128.36,4
52,29,30,48.79,2
219,1,13,32.37,2
207,46,12,221.84,5
3,29,25,119.47,6
152,13,2,86.28,4
102,32,14,257.26,8
63,34,26,89.6,4
257,46,7,296.77,8
192,2,10,102.07,3
232,21,15,43.86,2
261,10,3,110.5,4
359,29,3,193.63,5
294,26,8,53.19,3
227,24,27,132.29,3
321,50,7,289.13,9
175,27,22,135.27,5
360,21,13,109.94,4
278,4,23,27.02,3
238,15,10,118.21,3
330,45,27,94.76,4
189,23,12,203.98,5
264,46,24,295.42,10
104,27,25,99.45,3
352,28,13,87.44,2
228,22,21,52.35,3
286,28,4,187.28,6
169,4,15,35.04,2
317,3,12,50.91,3
28,24,29,190.13,5
42,30,29,33.54,1
186,28,24,74.63,3
268,22,29,60.02,3
296,15,30,83.82,2
161,36,24,22.41,1
238,31,18,150.9,4
202,3,7,33.35,3
351,23,25,53.32,2
239,36,6,117.15,5
153,40,6,74.14,2
354,15,27,156.26,3
40,47,4,25.44,2
360,33,5,153.04,5
57,22,16,66.08,3
106,32,18,133.85,5
300,44,2,127.63,4
268,12,12,41.37,2
355,8,7,80.93,2
274,23,10,235.52,8
233,5,6,21.4,1
127,42,21,147.81,6
2,49,15,195.7,5
46,31,29,158.81,4
109,49,1,141.88,4
15,4,24,24.17,2
186,32,28,166.14,6
284,23,15,169.67,4
352,14,21,111.28,5
179,16,14,128.6,5
320,28,18,149.02,4
360,33,28,161.1,4
314,9,16,75.33,1
170,31,18,83.91,2
119,47,30,127.23,8
357,1,15,144.29,6
89,44,6,286.93,8
151,31,21,147.88,4
28,18,21,94.27,4
290,37,8,53.99,3
238,31,22,124.37,5
31,39,2,44.16,3
82,5,10,87.54,5
203,3,26,21.6,3
198,33,19,140.6,5
293,16,19,56.41,2
98,12,19,52.07,3
338,22,5,155.83,7
163,37,29,70.76,4
301,9,9,165.73,4
88,49,24,150.66,6
14,22,30,36.25,2
21,8,8,38.93,1
137,4,20,29.01,2
348,43,2,247.72,7
18,6,20,31.4,1
135,21,14,59.09,3
40,34,3,194.29,6
341,26,21,48.21,3
247,14,30,23.93,1
279,6,3,43.22,2
261,36,27,134.08,6
240,25,26,13.9,1
283,3,17,10.7,1
3,10,28,104.91,4
316,29,10,93.4,3
271,9,22,151.82,4
270,20,21,85.25,3
144,7,18,157.79,4
293,40,26,122.52,4
140,32,27,139.48,5
18,40,24,233.69,7
332,3,18,29.36,2
86,19,30,88.33,3
38,14,17,50.98,2
227,32,20,30.93,1
86,42,6,118.55,6
314,12,10,74.05,4
162,39,28,115.01,6
2,30,15,216.41,6
348,42,16,262.61,6
188,5,25,75.72,4
96,50,10,68.05,3
248,22,8,54.72,3
194,15,1,77.63,2
11,10,7,76.71,3
278,50,16,82.71,3
147,45,22,144.55,9
256,7,10,123.3,4
327,23,14,156.36,3
223,37,7,59.39,3
246,30,25,45.25,2
93,10,16,74.81,2
87,19,5,30.64,1
152,19,19,63.84,2
312,15,11,128.78,2
192,49,26,196.96,8
128,11,9,118.53,5
285,36,26,38.13,2
312,46,21,290.22,7
330,40,5,133.88,3
110,40,23,193.78,5
